primaryCaseID,justiceID,justiceName
1408,49,WFSpence
1409,42,JHGFauteux
1409,43,DCAbbott
1409,46,WJudson
1409,47,RARitchie
1410,41,JRCartwright
1410,43,DCAbbott
1410,48,EMHall
1410,50,LPPigeon
1411,41,JRCartwright
1411,48,EMHall
1413,42,JHGFauteux
1413,43,DCAbbott
1413,48,EMHall
1413,50,LPPigeon
1414,42,JHGFauteux
1414,43,DCAbbott
1414,46,WJudson
1414,50,LPPigeon
1415,41,JRCartwright
1415,42,JHGFauteux
1415,43,DCAbbott
1415,47,RARitchie
1416,41,JRCartwright
1416,42,JHGFauteux
1416,45,RMartland
1416,50,LPPigeon
1419,42,JHGFauteux
1419,45,RMartland
1419,46,WJudson
1419,47,RARitchie
1423,41,JRCartwright
1423,46,WJudson
1424,42,JHGFauteux
1424,45,RMartland
1424,48,EMHall
1424,50,LPPigeon
1425,41,JRCartwright
1425,48,EMHall
1426,41,JRCartwright
1426,42,JHGFauteux
1426,45,RMartland
1426,47,RARitchie
1427,42,JHGFauteux
1427,43,DCAbbott
1427,45,RMartland
1427,46,WJudson
1428,42,JHGFauteux
1428,43,DCAbbott
1428,46,WJudson
1428,50,LPPigeon
1429,41,JRCartwright
1429,46,WJudson
1429,47,RARitchie
1429,48,EMHall
1430,41,JRCartwright
1430,42,JHGFauteux
1430,46,WJudson
1430,50,LPPigeon
1431,41,JRCartwright
1431,42,JHGFauteux
1431,43,DCAbbott
1431,50,LPPigeon
1432,41,JRCartwright
1432,42,JHGFauteux
1432,43,DCAbbott
1432,50,LPPigeon
1433,42,JHGFauteux
1433,45,RMartland
1433,46,WJudson
1433,48,EMHall
1434,42,JHGFauteux
1434,46,WJudson
1434,48,EMHall
1434,50,LPPigeon
1435,41,JRCartwright
1435,42,JHGFauteux
1435,48,EMHall
1435,49,WFSpence
1436,41,JRCartwright
1436,42,JHGFauteux
1436,43,DCAbbott
1436,50,LPPigeon
1437,42,JHGFauteux
1437,43,DCAbbott
1438,42,JHGFauteux
1438,45,RMartland
1438,46,WJudson
1438,47,RARitchie
1439,41,JRCartwright
1439,42,JHGFauteux
1439,45,RMartland
1439,48,EMHall
1444,41,JRCartwright
1444,43,DCAbbott
1444,48,EMHall
1444,49,WFSpence
1446,42,JHGFauteux
1446,43,DCAbbott
1446,45,RMartland
1446,50,LPPigeon
1448,42,JHGFauteux
1448,45,RMartland
1448,46,WJudson
1448,47,RARitchie
1449,42,JHGFauteux
1449,43,DCAbbott
1449,50,LPPigeon
1449,51,BLaskin
1450,42,JHGFauteux
1450,43,DCAbbott
1450,48,EMHall
1450,49,WFSpence
1451,41,JRCartwright
1451,42,JHGFauteux
1451,43,DCAbbott
1451,50,LPPigeon
1452,45,RMartland
1452,47,RARitchie
1452,48,EMHall
1452,49,WFSpence
1453,46,WJudson
1453,48,EMHall
1453,49,WFSpence
1453,51,BLaskin
1455,41,JRCartwright
1455,42,JHGFauteux
1455,43,DCAbbott
1455,50,LPPigeon
1456,41,JRCartwright
1456,42,JHGFauteux
1456,43,DCAbbott
1456,46,WJudson
1457,45,RMartland
1457,46,WJudson
1457,47,RARitchie
1457,48,EMHall
1458,41,JRCartwright
1458,42,JHGFauteux
1458,45,RMartland
1458,46,WJudson
1459,41,JRCartwright
1459,45,RMartland
1459,46,WJudson
1459,48,EMHall
1460,46,WJudson
1460,48,EMHall
1460,49,WFSpence
1460,51,BLaskin
1461,42,JHGFauteux
1461,43,DCAbbott
1461,46,WJudson
1461,48,EMHall
1462,42,JHGFauteux
1462,43,DCAbbott
1462,47,RARitchie
1462,51,BLaskin
1463,41,JRCartwright
1463,43,DCAbbott
1463,48,EMHall
1463,50,LPPigeon
1464,42,JHGFauteux
1464,43,DCAbbott
1464,47,RARitchie
1464,50,LPPigeon
1465,41,JRCartwright
1465,43,DCAbbott
1467,42,JHGFauteux
1467,43,DCAbbott
1467,45,RMartland
1467,46,WJudson
1468,43,DCAbbott
1468,45,RMartland
1468,47,RARitchie
1468,48,EMHall
1469,42,JHGFauteux
1469,45,RMartland
1469,46,WJudson
1469,48,EMHall
1470,45,RMartland
1470,46,WJudson
1470,49,WFSpence
1470,51,BLaskin
1471,41,JRCartwright
1471,46,WJudson
1471,47,RARitchie
1471,49,WFSpence
1473,42,JHGFauteux
1473,43,DCAbbott
1473,47,RARitchie
1473,50,LPPigeon
1474,42,JHGFauteux
1474,43,DCAbbott
1474,50,LPPigeon
1474,51,BLaskin
1475,42,JHGFauteux
1475,43,DCAbbott
1475,49,WFSpence
1475,50,LPPigeon
1476,42,JHGFauteux
1476,43,DCAbbott
1476,49,WFSpence
1476,50,LPPigeon
1477,45,RMartland
1477,48,EMHall
1477,49,WFSpence
1477,51,BLaskin
1478,42,JHGFauteux
1478,43,DCAbbott
1478,48,EMHall
1478,50,LPPigeon
1480,42,JHGFauteux
1480,43,DCAbbott
1480,45,RMartland
1480,46,WJudson
1481,42,JHGFauteux
1481,43,DCAbbott
1481,47,RARitchie
1481,50,LPPigeon
1482,42,JHGFauteux
1482,43,DCAbbott
1482,46,WJudson
1482,48,EMHall
1483,42,JHGFauteux
1483,43,DCAbbott
1483,47,RARitchie
1483,50,LPPigeon
1484,42,JHGFauteux
1484,43,DCAbbott
1484,45,RMartland
1484,46,WJudson
1485,42,JHGFauteux
1485,43,DCAbbott
1485,47,RARitchie
1485,50,LPPigeon
1486,43,DCAbbott
1486,47,RARitchie
1486,48,EMHall
1486,50,LPPigeon
